CHEBI:63995	17-HETE
CHEBI:63994	16-HETE
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:34306	20-HETE
CHEBI:16474	NADPH
CHEBI:63579	18-HETE
CHEBI:63998	19-HETE
CHEBI:18009	NADP(+)
CHEBI:15843	arachidonic acid
CHEBI:18225	myo-inositol 1,3-bisphosphate
CHEBI:4170	D-glucopyranose 6-phosphate
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:18248	iron atom
CHEBI:17268	myo-inositol
CHEBI:17816	1D-myo-inositol 1,4-bisphosphate
CHEBI:18420	magnesium(2+)
CHEBI:18169	1D-myo-inositol 3-phosphate
CHEBI:15846	NAD(+)
CHEBI:28858	1D-myo-inositol 3,4-bisphosphate
CHEBI:18367	phosphate(3-)
CHEBI:16595	1D-myo-inositol 1,4,5-trisphosphate
CHEBI:15371	3-oxopristanoyl-CoA
CHEBI:28867	O-propanoylcarnitine
CHEBI:15346	coenzyme A
CHEBI:15495	4,8,12-trimethyltridecanoyl-CoA
CHEBI:15366	acetic acid
CHEBI:17126	carnitine
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:64039	(2S)-pristanoyl-CoA
CHEBI:16238	FAD
CHEBI:16240	hydrogen peroxide
CHEBI:16908	NADH
CHEBI:51341	pristanoyl-CoA
CHEBI:15539	propionyl-CoA
CHEBI:15846	NAD(+)
CHEBI:15960	O-acetylcarnitinium
CHEBI:63874	O-(4,8-dimethylnonanoyl)carnitine
CHEBI:15351	acetyl-CoA
CHEBI:63914	3-hydroxypristanoyl-CoA
CHEBI:63803	(E)-2,3-didehydropristanoyl-CoA
CHEBI:30164	5-diphospho-1D-myo-inositol pentakisphosphate
CHEBI:29035	manganese(2+)
CHEBI:15422	ATP
CHEBI:15377	water
CHEBI:16322	myo-inositol 1,3,4,5,6-pentakisphosphate
CHEBI:18420	magnesium(2+)
CHEBI:62985	5-triphospho-1D-myo-inositol  1,2,3,4,6-pentakisphosphate
CHEBI:16761	ADP
CHEBI:17401	myo-inositol hexakisphosphate
CHEBI:15844	1D-myo-inositol 3,4,5,6-tetrakisphosphate
CHEBI:18367	phosphate(3-)
CHEBI:62926	1-diphospho-1D-myo-inositol 3,4,5,6-tetrakisphosphate
CHEBI:15741	succinic acid
CHEBI:16810	2-oxoglutarate(2-)
CHEBI:16422	androst-4-ene-3,17-dione
CHEBI:15422	ATP
CHEBI:15379	dioxygen
CHEBI:16526	carbon dioxide
CHEBI:16761	ADP
CHEBI:16330	17beta-hydroxy-5alpha-androstan-3-one
CHEBI:29117	6-dehydrotestosterone
CHEBI:17347	testosterone
CHEBI:16842	formaldehyde
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:16526	carbon dioxide
CHEBI:17627	ferroheme b
CHEBI:17544	hydrogencarbonate
CHEBI:17996	chloride
CHEBI:16908	NADH
CHEBI:18248	iron atom
CHEBI:15846	NAD(+)
CHEBI:29105	zinc(2+)
CHEBI:15491	3-oxopalmitoyl-CoA
CHEBI:27402	(S)-3-hydroxypalmitoyl-CoA
CHEBI:15346	coenzyme A
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:16238	FAD
CHEBI:15846	NAD(+)
CHEBI:16908	NADH
CHEBI:15521	lauroyl-CoA
CHEBI:15351	acetyl-CoA
CHEBI:17877	FADH2
CHEBI:10723	trans-dec-2-enoyl-CoA
CHEBI:57762	L-valine zwitterion
CHEBI:59888	gamma-aminobutyric acid zwitterion
CHEBI:60039	L-proline zwitterion
CHEBI:48950	L-2,4-diaminobutyric acid
CHEBI:17996	chloride
CHEBI:57844	L-methionine zwitterion
CHEBI:57926	L-threonine zwitterion
CHEBI:32551	L-lysinium(1+)
CHEBI:32513	L-histidinium(1+)
CHEBI:18357	(R)-noradrenaline
CHEBI:28790	serotonin
CHEBI:58315	L-tyrosine zwitterion
CHEBI:58359	L-glutamine zwitterion
CHEBI:58095	L-phenylalanine zwitterion
CHEBI:28918	(R)-adrenaline
CHEBI:57305	glycine zwitterion
CHEBI:57427	L-leucine zwitterion
CHEBI:16958	beta-alanine
CHEBI:18295	histamine
CHEBI:57912	L-tryptophan zwitterion
CHEBI:35235	L-cysteine zwitterion
CHEBI:58045	L-isoleucine zwitterion
CHEBI:57972	L-alanine zwitterion
CHEBI:58048	L-asparagine zwitterion
CHEBI:33384	L-serine zwitterion
CHEBI:17750	glycine betaine
CHEBI:32682	L-argininium(1+)
CHEBI:15891	taurine
CHEBI:18243	dopamine
CHEBI:29101	sodium(1+)
CHEBI:18240	4-hydroxy-L-proline
CHEBI:15422	ATP
CHEBI:15377	water
CHEBI:18420	magnesium(2+)
CHEBI:16027	AMP
CHEBI:16238	FAD
CHEBI:17621	FMN
CHEBI:16761	ADP
CHEBI:17015	riboflavin
CHEBI:18367	phosphate(3-)
CHEBI:29888	diphosphoric acid
CHEBI:17790	methanol
CHEBI:17154	nicotinamide
CHEBI:29009	N(tele)-methylhistamine
CHEBI:27760	L-selenocystathionine
CHEBI:77028	L-adenosylselenohomocysteine
CHEBI:16335	adenosine
CHEBI:16680	S-adenosyl-L-homocysteine
CHEBI:15422	ATP
CHEBI:15377	water
CHEBI:17627	ferroheme b
CHEBI:18295	histamine
CHEBI:18405	pyridoxal 5'-phosphate
CHEBI:15414	S-adenosyl-L-methionine
CHEBI:18420	magnesium(2+)
CHEBI:9066	L-adenosylselenomethionine
CHEBI:30021	L-selenomethionine
CHEBI:15611	sarcosine
CHEBI:16134	ammonia
CHEBI:57305	glycine zwitterion
CHEBI:32816	pyruvic acid
CHEBI:16797	1-methylnicotinamide
CHEBI:30831	2-oxobutanoic acid
CHEBI:29888	diphosphoric acid
CHEBI:9096	L-selenohomocysteine
CHEBI:16633	L-selenocysteine
CHEBI:16503	selane
CHEBI:57972	L-alanine zwitterion
CHEBI:33384	L-serine zwitterion
CHEBI:27812	Se-methyl-L-selenocysteine
CHEBI:64685	methylselenol
CHEBI:18367	phosphate(3-)
CHEBI:29103	potassium(1+)
CHEBI:57912	L-tryptophan zwitterion
CHEBI:35235	L-cysteine zwitterion
CHEBI:57762	L-valine zwitterion
CHEBI:58045	L-isoleucine zwitterion
CHEBI:57972	L-alanine zwitterion
CHEBI:58095	L-phenylalanine zwitterion
CHEBI:57844	L-methionine zwitterion
CHEBI:33384	L-serine zwitterion
CHEBI:57305	glycine zwitterion
CHEBI:57427	L-leucine zwitterion
CHEBI:58359	L-glutamine zwitterion
CHEBI:58315	L-tyrosine zwitterion
CHEBI:29101	sodium(1+)
CHEBI:17621	FMN
CHEBI:25941	peroxynitrite
CHEBI:62772	5,6,7,8-tetrahydrobiopterin radical cation
CHEBI:15372	5,6,7,8-tetrahydrobiopterin
CHEBI:15375	D-erythro-7,8-dihydrobiopterin
CHEBI:15422	ATP
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:17627	ferroheme b
CHEBI:17804	dyspropterin
CHEBI:10545	electron
CHEBI:16474	NADPH
CHEBI:16761	ADP
CHEBI:16095	sepiapterin
CHEBI:18372	7,8-dihydroneopterin 3'-triphosphate
CHEBI:58095	L-phenylalanine zwitterion
CHEBI:16238	FAD
CHEBI:16504	monodehydro-L-ascorbic acid
CHEBI:29108	calcium(2+)
CHEBI:15996	GTP
CHEBI:18248	iron atom
CHEBI:18009	NADP(+)
CHEBI:29105	zinc(2+)
CHEBI:30751	formic acid
CHEBI:18066	UDP-D-glucose
CHEBI:18420	magnesium(2+)
CHEBI:18132	phosphocholine
CHEBI:28648	beta-GalNAc-(1->4)-[alpha-Neu5Ac-(2->8)-alpha-Neu5Ac-(2->3)]-beta-Gal-(1->4)-beta-Glc-(1<->1')-Cer
CHEBI:16908	NADH
CHEBI:17950	beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-N-acylsphingosine
CHEBI:52639	N-acylsphingosine
CHEBI:15681	alpha-N-acetylneuraminosyl-(2->3)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide
CHEBI:15422	ATP
